POSITION,PLAYER,TEAM,TOI,GP,TOI/GP,GOALS/60,TOTAL ASSISTS/60,FIRST ASSISTS/60,SECOND ASSISTS/60,TOTAL POINTS/60,IPP,SHOTS/60,SH%,IXG/60,ICF/60,IFF/60,ISCF/60,IHDCF/60,RUSH ATTEMPTS/60,REBOUNDS CREATED/60,PIM/60,TOTAL PENALTIES/60,MINOR/60,MAJOR/60,MISCONDUCT/60,PENALTIES DRAWN/60,GIVEAWAYS/60,TAKEAWAYS/60,HITS/60,HITS TAKEN/60,SHOTS BLOCKED/60,FACEOFFS WON/60,FACEOFFS LOST/60,FACEOFFS %,CF/60,CA/60,CF%,FF/60,FA/60,FF%,SF/60,SA/60,SF%,GF/60,GA/60,GF%,XGF/60,XGA/60,XGF%,SCF/60,SCA/60,SCF%,HDCF/60,HDCA/60,HDCF%,HDGF/60,HDGA/60,HDGF%,MDCF/60,MDCA/60,MDCF%,MDGF/60,MDGA/60,MDGF%,LDCF/60,LDCA/60,LDCF%,LDGF/60,LDGA/60,LDGF%,ON-ICE SH%,ON-ICE SV%,PDO,OFF. ZONE STARTS/60,NEU. ZONE STARTS/60,DEF. ZONE STARTS/60,ON THE FLY STARTS/60,OFF. ZONE START %,OFF. ZONE FACEOFFS/60,NEU. ZONE FACEOFFS/60,DEF. ZONE FACEOFFS/60,OFF. ZONE FACEOFF %,AGE,DATE OF BIRTH,BIRTH CITY,BIRTH STATE/PROVINCE,BIRTH COUNTRY,NATIONALITY,HEIGHT (IN),WEIGHT (LBS),DRAFT YEAR,DRAFT TEAM,DRAFT ROUND,ROUND PICK,OVERALL DRAFT POSITION,COUNTRY,HANDED,DRAFTED,SIGNING TEAM,TYPE,SIGNING AGE,CLAUSE,LENGTH,EXPIRY,EXP. YEAR,CAP HIT,AAV,SALARY,BASE SALARY,S.BONUS,P.BONUS,SEASON,SALARY CAP,SALARY CAP PERCENTAGE,DECEASED,PRED_SALARY_PERCENTAGE,PRED_AAV,DIFF
"c, l",andrew cogliano,col,1120.2833333333,82,13.661991869919,0.96,1.45,0.75,0.7,2.41,77.59,5.25,0.1837,0.62,8.36,6.96,5.73,2.95,0.27,0.32,1.07,0.54,0.54,0.0,0.0,1.29,2.62,1.87,1.34,2.25,1.66,11.46,17.57,0.0210999999999999,47.56,56.72,0.4561,35.88,44.08,0.4488,25.92,31.76,0.4493999999999999,3.11,2.79,0.5273,2.46,2.58,0.4885,22.12,23.94,0.4802,9.05,10.28,0.4681,1.82,1.55,0.5397,17.42,18.21,0.489,0.79,0.93,0.4583,32.41,40.77,0.4429,1.01,0.77,0.5652,0.1198,0.9123,1.032,9.59,12.21,5.52,50.93,0.6347999999999999,15.05,18.42,11.19,0.5735,20,1987-06-14,Toronto,ON,CAN,CAN,70,179,2005.0,EDM,1.0,25.0,25.0,Canada,Left,25 - Round 1 - 2005 (EDM),EDM,Entry-Level,20,,3,RFA,2010,850000,"$1,133,333.00",850000,850000,0,350000,2007-08,50300000,0.0168986083499005,0,0.019398255,"$975,732.00","$-157,601.00"
c,antoine vermette,-,1423.6166666667,81,17.575514403292,1.01,1.22,0.72,0.51,2.23,81.54,7.38,0.1371,0.76,11.8,9.95,6.7,3.54,0.25,0.8,2.15,1.01,0.97,0.04,0.0,1.14,2.07,1.22,2.07,4.26,1.05,29.08,22.21,0.0239,48.68,55.25,0.4684,37.64,42.23,0.4711999999999999,27.61,32.07,0.4625999999999999,2.74,3.29,0.4545,2.38,3.01,0.4421,23.26,29.92,0.4374,9.82,12.01,0.4498,1.81,1.85,0.4943,17.93,23.88,0.4288,0.51,0.96,0.3461999999999999,31.72,31.78,0.4995,0.73,0.91,0.4443999999999999,0.0992,0.8975,0.997,7.8,16.77,13.99,39.53,0.3578,13.95,23.56,23.31,0.3743999999999999,24,1982-07-20,St. Agapit,QC,CAN,CAN,73,197,2000.0,OTT,2.0,25.0,55.0,Canada,Left,55 - Round 2 - 2000 (OTT),OTT,Standard (1-way),23,,2,RFA,2008,1000000,"$1,000,000.00",1075000,1075000,0,0,2007-08,50300000,0.0198807157057654,0,0.019276429,"$969,604.00","$-30,396.00"
c,anze kopitar,lak,1696.8,82,20.692682926829,1.13,1.59,0.81,0.78,2.72,75.49,7.11,0.1592,0.77,12.23,9.97,7.43,2.79,0.53,0.5,0.78,0.39,0.39,0.0,0.0,1.59,3.01,1.84,1.66,4.7,1.41,20.01,20.65,0.0174,61.46,51.34,0.5448,47.88,40.38,0.5425,33.73,28.68,0.5405,3.61,3.11,0.5367999999999999,3.47,2.58,0.5733,30.59,24.79,0.5524,12.45,9.16,0.5761,2.19,1.59,0.5794,24.19,20.84,0.5372,1.08,1.27,0.46,38.92,33.51,0.5374,0.87,0.61,0.5861999999999999,0.1069,0.8915000000000001,0.998,12.06,14.43,7.14,39.64,0.628,20.3,20.62,12.2,0.6246,19,1987-08-24,Jesenice,SVN,SVN,,75,225,2005.0,L.A,1.0,11.0,,Slovenia,Left,11 - Round 1 - 2005 (LAK),LAK,Entry-Level,18,,3,RFA,2009,821667,"$955,867.00",850000,765000,85000,134200,2007-08,50300000,0.0163353280318091,0,0.03139507,"$1,579,172.00","$623,305.00"
c,boyd gordon,-,1054.1666666667,67,15.733830845771,0.4,0.51,0.23,0.28,0.91,61.54,5.69,0.07,0.59,9.45,7.85,5.63,2.39,0.28,0.46,0.68,0.34,0.34,0.0,0.0,0.74,0.85,1.59,1.08,6.2,2.85,28.69,22.77,0.0317,41.26,59.31,0.4103,31.82,43.31,0.4235,23.11,31.87,0.4203,1.48,3.13,0.321,1.96,3.0,0.3958,20.95,26.18,0.4443999999999999,7.46,10.13,0.4239,0.74,1.59,0.3171,17.99,21.4,0.4565999999999999,0.61,1.14,0.3478,24.5,41.35,0.372,0.25,0.99,0.2,0.064,0.9018,0.966,7.8,15.88,19.35,38.76,0.2872,13.6,23.51,33.35,0.2897,23,1983-10-19,Unity,SK,CAN,CAN,72,200,2002.0,WSH,1.0,17.0,17.0,Canada,Right,17 - Round 1 - 2002 (WSH),WSH,Standard (1-way),22,,2,RFA,2008,650000,"$650,000.00",650000,650000,0,0,2007-08,50300000,0.0129224652087475,0,0.0131797,"$662,938.00","$12,938.00"
c,brad richards,-,1736.4333333333,74,23.465315315315,0.69,1.45,0.86,0.59,2.14,65.96,8.6,0.0803,0.65,16.76,12.06,6.57,1.52,0.48,0.73,0.52,0.21,0.17,0.03,0.0,0.69,1.59,1.66,0.45,2.49,0.76,18.21,18.9,0.017,60.19,45.3,0.5706,44.89,35.35,0.5594,31.55,24.95,0.5584,3.25,3.59,0.4747,2.93,2.39,0.551,28.33,22.01,0.5628,9.95,8.6,0.5363,1.62,1.69,0.4896,24.51,17.88,0.5783,1.11,1.15,0.4897999999999999,40.58,29.3,0.5807,1.0,1.35,0.4255,0.103,0.856,0.959,10.99,13.2,8.43,26.68,0.5658,21.53,20.35,15.55,0.5806,27,1980-05-02,Murray Hbr.,PE,CAN,CAN,72,199,1998.0,T.B,3.0,6.0,64.0,Canada,Left,64 - Round 3 - 1998 (TBL),TBL,Standard (1-way),26,NTC,5,UFA,2011,7800000,"$7,800,000.00",7800000,7800000,0,0,2007-08,50300000,0.1550695825049702,0,0.05037369,"$2,533,796.00","$-5,266,204.00"
c,brandon dubinsky,-,1188.9833333333,82,14.499796747967,0.71,1.31,0.61,0.71,2.02,72.73,7.92,0.0892,0.77,12.51,10.7,8.07,3.94,0.3,0.56,3.99,1.26,0.86,0.35,0.05,1.92,1.16,2.02,9.89,6.61,1.51,25.84,24.37,0.026,62.12,37.8,0.6217,48.55,29.67,0.6206,34.97,20.74,0.6277,2.78,1.87,0.5978,3.26,1.78,0.6459999999999999,32.09,19.43,0.6229,14.18,8.23,0.6329,1.46,0.91,0.617,23.89,14.94,0.6153,1.08,0.61,0.64,36.88,21.5,0.6317,0.73,0.73,0.5,0.0794,0.91,0.989,9.54,14.94,4.39,45.06,0.6848000000000001,20.59,23.11,8.78,0.701,21,1986-04-29,Anchorage,AK,USA,USA,74,208,2004.0,NYR,2.0,30.0,60.0,United States,Left,60 - Round 2 - 2004 (NYR),NYR,Entry-Level,20,,3,RFA,2009,633333,"$633,333.00",645000,475000,170000,0,2007-08,50300000,0.0125911133200795,0,0.023034204,"$1,158,620.00","$525,287.00"
c,brett mclean,-,1087.6333333333,67,16.233333333333,0.77,1.27,0.72,0.55,2.04,72.55,7.72,0.1,0.7,11.86,9.6,6.18,3.53,0.5,1.1,1.88,0.94,0.94,0.0,0.0,0.77,1.21,1.38,1.21,2.87,1.65,16.33,18.09,0.0262,54.06,58.03,0.4822999999999999,42.04,44.85,0.4838,32.05,34.7,0.4802,2.81,2.92,0.4904,2.53,2.95,0.4621,24.55,26.81,0.478,11.25,10.81,0.51,1.71,1.82,0.4844,17.73,21.33,0.4539,0.44,0.88,0.3333,36.42,38.73,0.4846,1.12,0.64,0.6364,0.0877999999999999,0.9157,1.004,11.03,13.18,13.24,46.5,0.4545,18.54,19.53,22.29,0.4540999999999999,28,1978-08-14,Comox,BC,CAN,CAN,71,184,1997.0,DAL,9.0,25.0,242.0,Canada,Left,242 - Round 9 - 1997 (DAL),FLA,Standard (1-way),28,,3,UFA,2010,1700000,"$1,700,000.00",1700000,1700000,0,0,2007-08,50300000,0.0337972166998011,0,0.035055116,"$1,763,272.00","$63,272.00"
c,brooks laich,-,1151.75,82,14.045731707317,1.09,0.83,0.68,0.16,1.93,80.43,6.36,0.1721,0.69,9.79,8.07,6.98,3.59,0.36,0.52,1.82,0.83,0.78,0.05,0.0,1.35,1.35,1.15,4.32,6.2,2.92,14.64,16.41,0.0246,48.24,54.91,0.4677,36.88,41.83,0.4686,27.3,31.41,0.465,2.4,3.33,0.4182,2.18,2.72,0.4451,23.18,24.48,0.4863,8.54,9.27,0.4795,1.3,1.98,0.3968,19.52,20.28,0.4904,0.97,0.63,0.6087,30.78,38.0,0.4475,0.45,1.28,0.2609,0.0877999999999999,0.8939,0.982,10.21,13.86,8.49,48.86,0.546,17.82,20.84,16.31,0.5221,24,1983-06-23,Wawota,SK,CAN,CAN,74,200,2001.0,OTT,6.0,28.0,193.0,Canada,Left,193 - Round 6 - 2001 (OTT),WSH,Standard (1-way),24,,1,RFA,2008,725000,"$725,000.00",725000,725000,0,0,2007-08,50300000,0.0144135188866799,0,0.016206361,"$815,179.00","$90,179.00"
c,chris drury,-,1623.1333333333,82,19.794308943089,0.92,1.22,0.7,0.52,2.14,67.44,8.13,0.1135999999999999,0.97,12.94,10.83,8.17,3.7,0.33,0.78,1.66,0.78,0.74,0.04,0.0,0.78,1.48,2.37,1.7,2.0,2.81,27.58,22.66,0.0203,58.15,49.9,0.5381,45.25,36.41,0.5540999999999999,33.34,26.8,0.5544,3.18,2.44,0.5658,3.47,2.62,0.5697,30.98,25.62,0.5474,12.35,11.46,0.5186,1.7,1.15,0.5974,24.84,18.88,0.5682,1.33,0.89,0.6,32.62,28.78,0.5313,0.69,0.85,0.4483,0.0953,0.909,1.004,10.61,12.61,9.2,42.18,0.5354,20.55,20.52,16.41,0.556,30,1976-08-20,Trumbull,CT,USA,USA,70,191,1994.0,QUE,3.0,20.0,72.0,United States,Right,72 - Round 3 - 1994 (QUE),NYR,Standard (1-way),30,,5,UFA,2012,7050000,"$7,050,000.00",7100000,7100000,0,0,2007-08,50300000,0.1401590457256461,0,0.09696604,"$4,877,391.00","$-2,172,609.00"
c,chris kelly,-,1245.2333333333,75,16.603111111111,0.53,0.92,0.58,0.34,1.45,71.43,5.97,0.0886999999999999,0.57,10.36,8.09,6.46,2.41,0.53,0.48,1.45,0.72,0.72,0.0,0.0,0.63,1.69,2.41,3.08,4.63,1.69,4.14,3.66,0.0256,42.35,56.37,0.429,32.33,43.03,0.429,23.95,31.27,0.4337,2.02,2.89,0.4118,1.91,3.0,0.3887,20.67,31.08,0.3994,8.62,11.95,0.4192,1.3,1.69,0.4355,16.06,25.51,0.3864,0.45,0.71,0.3889,26.87,32.22,0.4547,0.49,0.97,0.3333,0.0844999999999999,0.9076,0.992,6.84,17.11,12.72,41.92,0.3497999999999999,12.62,23.71,21.54,0.3695,26,1980-11-11,Toronto,ON,CAN,CAN,72,190,1999.0,OTT,3.0,28.0,94.0,Canada,Left,94 - Round 3 - 1999 (OTT),OTT,Standard (1-way),26,,1,UFA,2008,1262500,"$1,262,500.00",1262500,1262500,0,0,2007-08,50300000,0.0250994035785288,0,0.022421056,"$1,127,779.00","$-134,721.00"
